Date, Open, High, Low, Close
11/26/08, 20474.70, 20474.70, 19836.24, 20474.70
11/25/08, 20263.11, 20302.17, 18984.22, 20263.11
11/24/08, 18984.22, 18984.22, 18066.38, 18984.22
11/21/08, 18066.38, 18411.01, 17814.42, 18066.38
11/20/08, 17814.42, 18756.65, 17770.97, 17814.42
11/19/08, 18756.65, 18882.93, 18467.28, 18756.65
11/18/08, 18747.16, 18883.18, 18305.89, 18747.16
11/17/08, 18883.18, 19413.70, 18672.59, 18883.18
11/14/08, 19413.70, 19883.19, 19094.66, 19413.70
11/13/08, 19094.66, 19670.53, 18769.07, 19094.66
11/12/08, 19670.53, 20427.53, 19670.53, 19670.53
11/11/08, 20098.21, 21052.75, 20098.21, 20098.21
11/10/08, 21052.75, 21097.32, 20030.48, 21052.75
11/07/08, 20030.48, 20296.19, 19763.88, 20030.48
11/06/08, 20125.27, 20950.98, 20125.27, 20125.27
11/05/08, 20950.98, 22278.30, 20950.98, 20950.98
11/04/08, 21649.58, 21649.58, 20720.55, 21649.58
11/03/08, 21135.27, 21293.16, 20906.13, 21135.27
10/31/08, 20991.72, 20991.72, 20165.81, 20991.72
10/30/08, 20861.52, 21115.04, 19794.74, 20861.52
10/29/08, 19794.74, 19925.12, 18549.24, 19794.74
10/28/08, 18549.24, 19212.17, 18363.70, 18549.24
10/27/08, 18363.70, 18644.92, 17812.31, 18363.70
10/24/08, 18459.13, 19598.57, 18123.93, 18459.13
10/23/08, 19598.57, 20288.62, 19177.34, 19598.57
10/22/08, 20288.62, 21267.01, 20233.99, 20288.62
10/21/08, 21267.01, 21483.37, 20713.26, 21267.01
10/20/08, 20713.26, 20713.26, 20139.59, 20713.26
10/17/08, 20139.59, 20527.46, 19616.21, 20139.59
10/16/08, 20095.96, 20796.81, 19932.08, 20095.96
10/15/08, 20571.87, 22117.06, 20571.87, 20571.87
10/14/08, 22117.06, 22592.73, 21451.69, 22117.06
10/13/08, 21451.69, 21451.69, 20595.23, 21451.69
10/10/08, 20595.23, 21252.29, 20065.19, 20595.23
10/09/08, 21252.29, 21655.31, 20954.08, 21252.29
10/08/08, 20954.08, 21791.23, 20560.15, 20954.08
10/07/08, 21560.99, 21687.87, 20905.70, 21560.99
10/06/08, 21022.63, 22678.25, 20961.26, 21022.63
10/03/08, 22678.25, 22754.56, 22317.85, 22678.25
10/02/08, 22560.77, 23768.46, 22560.77, 22560.77
10/01/08, 23332.65, 24114.67, 23332.65, 23332.65
09/30/08, 23835.97, 23835.97, 22388.15, 23835.97
09/29/08, 23087.67, 24499.94, 23052.20, 23087.67
09/26/08, 24499.94, 24936.43, 24443.49, 24499.94
09/25/08, 24936.43, 25108.12, 24624.59, 24936.43
09/23/08, 24923.34, 25893.43, 24763.24, 24923.34
09/22/08, 25893.43, 26231.55, 25402.11, 25893.43
09/19/08, 25402.11, 25761.52, 24092.74, 25402.11
09/18/08, 24092.74, 24587.19, 23988.99, 24092.74
09/17/08, 24323.19, 25316.17, 24284.00, 24323.19
09/16/08, 24978.86, 25642.30, 24549.28, 24978.86
09/15/08, 25642.30, 26154.97, 25154.48, 25642.30
09/12/08, 26154.97, 26197.63, 25549.29, 26154.97
